postid,postyear,postdate,en_title,en_pageid,ar,ar_pageid,ar_title,zh,zh_pageid,zh_title,es,es_pageid,es_title,topic,category,updated_topic
762,2013,26-Apr,South Sudan Liberation Movement,1447071,FALSE,,,TRUE,3445801,南蘇丹解放運動,FALSE,,,4,Society and social science,3
764,2013,24-Apr,Great Mosque of Aleppo,19540658,TRUE,653063,جامع حلب الكبير,TRUE,3437986,阿勒頗大清真寺,TRUE,1725017,Gran Mezquita de Alepo,-1,Other,6
766,2013,24-Apr,Enrico Letta,1765716,TRUE,1824421,إنريكو ليتا,TRUE,3443544,恩里科·莱塔,TRUE,5797268,Enrico Letta,4,Person,3
769,2013,23-Apr,ADE 651,24962554,TRUE,1298610,جهاز كشف المتفجرات إيه دي إي 651,TRUE,3443366,ADE 651,FALSE,,,-1,None,6
771,2013,22-Apr,2012–13 Manchester United F.C. season,35810114,FALSE,,,TRUE,2858386,曼聯2012年至2013年球季,FALSE,,,2,Sports,4
772,2013,22-Apr,2012–13 Premier League,33069825,TRUE,1432911,الدوري الإنجليزي الممتاز 2012–13,TRUE,1914155,2012–13賽季英格蘭超級聯賽,TRUE,4622708,Premier League 2012-13,2,Sports,4
773,2013,21-Apr,Antares (rocket),13491108,FALSE,,,TRUE,3434691,安塔瑞斯運載火箭,FALSE,,,0,Science and nature,5
774,2013,21-Apr,"Paraguayan general election, 2013",35733933,FALSE,,,TRUE,3435530,2013年巴拉圭大選,TRUE,5272526,Elecciones generales de Paraguay de 2013,1,Society and social science,3
775,2013,20-Apr,"Italian presidential election, 2013",38462584,FALSE,,,TRUE,3431657,2013年義大利總統選舉,TRUE,8394475,Elecciones presidenciales de Italia de 2013,1,Society and social science,3
777,2013,19-Apr,Kosovo–Serbia relations,19116755,FALSE,,,TRUE,3430695,科索沃與塞爾維亞關係,FALSE,,,-1,Society and social science,6
779,2013,19-Apr,Pervez Musharraf,24260,TRUE,38122,برويز مشرف,TRUE,229906,佩尔韦兹·穆沙拉夫,TRUE,42959,Pervez Musharraf,5,Person,2
786,2013,15-Apr,"Venezuelan presidential election, 2013",38722832,TRUE,2448584,الانتخابات الرئاسية الفنزويلية 2013,TRUE,3424537,2013年委内瑞拉总统选举,TRUE,5679282,Elecciones presidenciales de Venezuela de 2013,1,Society and social science,3
792,2013,12-Apr,Dadasaheb Phalke Award,420424,TRUE,4304230,جائزة داداساهيب فالك,FALSE,,,FALSE,,,2,Art and culture,4
793,2013,8-Apr,Sudanese nomadic conflicts,23013592,FALSE,,,TRUE,3493683,蘇丹游牧民族衝突,TRUE,5023867,Conflictos tribales sudaneses,0,None,5
794,2013,8-Apr,Margaret Thatcher,19831,TRUE,38085,مارغريت ثاتشر,TRUE,5474,玛格丽特·撒切尔,TRUE,53103,Margaret Thatcher,4,Person,3
795,2013,7-Apr,"Montenegrin presidential election, 2013",38270513,FALSE,,,FALSE,,,TRUE,8457638,Elecciones presidenciales de Montenegro de 2013,1,Society and social science,3
798,2013,4-Apr,Roger Ebert,50908,TRUE,907579,روجر إيبرت,TRUE,700149,罗杰·埃伯特,TRUE,857215,Roger Ebert,5,Person,2
799,2013,3-Apr,2013 Argentina floods,39008392,FALSE,,,FALSE,,,TRUE,5748377,Inundación en Buenos Aires de 2013,5,Other,2
800,2013,3-Apr,Ruth Prawer Jhabvala,494664,FALSE,,,TRUE,794997,露絲·鮑爾·賈華拉,TRUE,1677827,Ruth Prawer Jhabvala,5,Person,2
802,2013,2-Apr,Arms Trade Treaty,19299405,TRUE,1635114,معاهدة تجارة الأسلحة,TRUE,3406663,武器贸易条约,TRUE,4039770,Tratado de comercio de armas,1,Society and social science,3
803,2013,2-Apr,Imatinib,561843,TRUE,1823273,إيماتينب,TRUE,1704306,伊马替尼,TRUE,3048744,Imatinib,-1,Other,6
806,2013,31-May,(285263) 1998 QE2,39496493,TRUE,1698910,(285263) 1998 QE2,TRUE,3493091,小行星285263,TRUE,5834993,(285263) 1998 QE2,-1,Science and nature,6
807,2013,30-May,Sudanese nomadic conflicts,23013592,FALSE,,,TRUE,3493683,蘇丹游牧民族衝突,TRUE,5023867,Conflictos tribales sudaneses,0,None,5
808,2013,29-May,Aurornis,39522616,FALSE,,,TRUE,3491742,曙光鳥屬,TRUE,5856582,Aurornis xui,-1,None,6
809,2013,29-May,Jadranko Prlić,4361696,FALSE,,,TRUE,3489038,亚德兰科·普尔利奇,TRUE,7426319,Jadranko Prlić,4,Person,3
810,2013,26-May,Vincenzo Nibali,6722889,TRUE,2634557,فينتشينزو نيبالي,TRUE,4866282,溫琴佐·尼巴利,TRUE,921136,Vincenzo Nibali,2,Person,4
811,2013,26-May,2013 Giro d'Italia,37176285,TRUE,2654067,طواف إيطاليا 2013,FALSE,,,TRUE,5724505,Giro de Italia 2013,2,Sports,4
812,2013,26-May,2013 Indianapolis 500,35828105,TRUE,2980528,إنديانابوليس 500 سنة 2013,FALSE,,,TRUE,5895589,Indianapolis 500 de 2013,2,Sports,4
813,2013,26-May,2013 Cannes Film Festival,37917993,TRUE,1562715,مهرجان كان السينمائي 2013,TRUE,3451081,第66屆坎城影展,TRUE,5849160,Anexo:Festival de Cannes 2013,2,Art and culture,4
814,2013,26-May,Blue Is the Warmest Colour,39159786,TRUE,1835108,حياة أديل,TRUE,3477174,阿黛尔的生活,TRUE,5849823,La vida de Adèle,2,Art and culture,4
815,2013,26-May,2013 Monaco Grand Prix,38153756,TRUE,2958357,جائزة موناكو الكبرى 2013,TRUE,3473339,2013年摩纳哥大奖赛,TRUE,5508472,Gran Premio de Mónaco de 2013,2,Sports,4
817,2013,25-May,2013 UEFA Champions League Final,28798029,TRUE,1075096,نهائي دوري أبطال أوروبا 2013,TRUE,3420606,2013年歐洲冠軍聯賽決賽,TRUE,4696534,Final de la Liga de Campeones de la UEFA 2012-13,-1,Sports,6
820,2013,22-May,Lydia Davis,4301322,TRUE,3674092,ليديا ديفيس,TRUE,3481697,莉迪亞·戴維斯,TRUE,4676376,Lydia Davis,2,Person,4
821,2013,22-May,Man Booker International Prize,1526491,TRUE,3674090,جائزة مان بوكر الدولية,TRUE,3483153,布克國際獎,TRUE,6893423,Premio Man Booker International,2,Art and culture,4
823,2013,20-May,2013 World Table Tennis Championships,35368125,FALSE,,,TRUE,3461994,2013年世界乒乓球錦標賽,FALSE,,,2,None,4
824,2013,20-May,Ray Manzarek,382199,FALSE,,,FALSE,,,TRUE,268808,Ray Manzarek,-1,Art and culture,6
825,2013,20-May,2013 Moore tornado,39440141,TRUE,1682144,إعصار موور 2013,TRUE,3472545,2013年穆尔龙卷风,TRUE,5839449,Tornado de Moore de 2013,-1,Science and nature,6
828,2013,18-May,2012–13 Heineken Cup,36118993,FALSE,,,FALSE,,,TRUE,5586452,Copa Heineken 2012–13,2,Sports,4
830,2013,18-May,DSM-5,11973479,TRUE,3340437,الدليل التشخيصي والإحصائي للاضطرابات النفسية (الطبعة الخامسة),FALSE,,,TRUE,8655419,DSM-5,0,Art and culture,5
831,2013,18-May,Eurovision Song Contest 2013,23913127,FALSE,,,TRUE,2822630,2013年欧洲歌唱大赛,TRUE,5227969,Festival de la Canción de Eurovisión 2013,2,Art and culture,4
835,2013,17-May,Jorge Rafael Videla,310344,TRUE,62231,خورخه فيديلا,TRUE,78470,豪尔赫·拉斐尔·魏地拉,TRUE,29551,Jorge Rafael Videla,5,Person,2
837,2013,12-May,Utricularia gibba,12045934,FALSE,,,TRUE,743970,絲葉狸藻,TRUE,5547149,Utricularia gibba,-1,None,6
838,2013,12-May,"Bulgarian parliamentary election, 2013",38583042,FALSE,,,TRUE,3475251,2013年保加利亞議會選舉,FALSE,,,1,Society and social science,3
840,2013,11-May,"Pakistani general election, 2013",34629668,FALSE,,,TRUE,3479286,2013年巴基斯坦大選,FALSE,,,1,Society and social science,3
841,2013,10-May,Efraín Ríos Montt,271964,TRUE,2839796,إفراين ريوس مونت,TRUE,3463014,里奧斯·蒙特,TRUE,78662,Efraín Ríos Montt,5,Person,2
842,2013,8-May,Kurdistan Workers' Party,69680,TRUE,47732,حزب العمال الكردستاني,TRUE,650861,库尔德斯坦工人党,TRUE,552829,Partido de los Trabajadores de Kurdistán,4,Society and social science,3
843,2013,8-May,Roberto Azevêdo,39329983,TRUE,2801012,روبرتو أزيفيدو,TRUE,3456165,罗伯托·阿泽维多,TRUE,5893088,Roberto Azevêdo,1,Person,3
844,2013,8-May,Alex Ferguson,43223,TRUE,163974,أليكس فيرغسون,TRUE,133985,亚历克斯·弗格森,TRUE,563062,Alex Ferguson,5,Person,2
845,2013,6-May,2013 World Snooker Championship,37862736,FALSE,,,TRUE,3455513,2013年司諾克世界錦標賽,FALSE,,,2,Sports,4
846,2013,5-May,"Malaysian general election, 2013",22149090,FALSE,,,TRUE,3406990,2013年马来西亚大选,TRUE,8169436,Elecciones federales de Malasia de 2013,1,Society and social science,3
848,2013,2-May,Sarabjit Singh,17125709,TRUE,1667031,سرابجيت سينغ,TRUE,3452321,薩拉布吉特·辛格,TRUE,5808234,Sarabjit Singh,5,Person,2
849,2013,30-Jun,Yarnell Hill Fire,39826147,FALSE,,,TRUE,3526743,亞奈爾山火,TRUE,5896946,Incendio de Yarnell Hill,0,Other,5
851,2013,27-Jun,Evolution of the horse,10490785,FALSE,,,FALSE,,,TRUE,7427419,Evolución de los équidos,6,None,1
852,2013,27-Jun,"Mongolian presidential election, 2013",39158265,TRUE,2448235,الانتخابات الرئاسية المنغولية 2013,TRUE,3521442,2013年蒙古國總統選舉,TRUE,6119828,Elecciones presidenciales de Mongolia de 2013,1,Society and social science,3
855,2013,26-Jun,Kevin Rudd,380965,TRUE,426978,كيفن رود,TRUE,505923,陆克文,TRUE,1323209,Kevin Rudd,4,Person,3
857,2013,26-Jun,Defense of Marriage Act,92946,FALSE,,,TRUE,3398709,捍卫婚姻法案,TRUE,4681918,Ley de defensa del matrimonio,-1,Society and social science,6
858,2013,26-Jun,United States v. Windsor,31039265,FALSE,,,TRUE,3518376,美国诉温莎案,TRUE,6307725,Estados Unidos contra Windsor,-1,Society and social science,6
859,2013,25-Jun,Tamim bin Hamad Al Thani,6146151,TRUE,81502,تميم بن حمد بن خليفة آل ثاني,TRUE,3517710,塔米姆·本·哈邁德·阿勒薩尼,TRUE,5887446,Tamim bin Hamad Al Zani,2,Person,4
864,2013,22-Jun,2013 Alberta floods,39741213,FALSE,,,TRUE,3519603,2013年亞伯達洪水,TRUE,5885081,Inundaciones en Alberta de 2013,3,Other,1
866,2013,16-Jun,2013 U.S. Open (golf),36705440,FALSE,,,TRUE,3509354,2013年美國高爾夫公開賽,FALSE,,,2,Sports,4
867,2013,15-Jun,Hassan Rouhani,38481813,TRUE,598100,حسن روحاني,TRUE,3504158,哈桑·鲁哈尼,TRUE,5690745,Hasán Rohaní,1,Person,3
868,2013,15-Jun,"Iranian presidential election, 2013",27485195,TRUE,1517071,انتخابات إيران الرئاسية 2013,TRUE,3482489,2013年伊朗总统选举,TRUE,5701211,Elecciones presidenciales de Irán de 2013,1,Society and social science,3
869,2013,15-Jun,2013 Quaid-e-Azam Residency attack,39690852,FALSE,,,FALSE,,,TRUE,5882279,Ataques a la Residencia Quaid-e-Azam de 2013,0,Other,5
870,2013,12-Jun,Cornea,311888,TRUE,32725,قرنية,TRUE,185897,角膜,TRUE,86337,Córnea,6,Other,1
871,2013,12-Jun,Dua's layer,39657695,TRUE,3171133,طبقة دوا,TRUE,3909510,杜瓦层,TRUE,5874619,Capa de Dua,6,None,1
872,2013,12-Jun,Jiroemon Kimura,23278173,TRUE,3112480,جيرويمون كيمورا,TRUE,1603376,木村次郎右衛門,TRUE,6230307,Jirōemon Kimura,2,Person,4
873,2013,11-Jun,Hellenic Broadcasting Corporation,334699,FALSE,,,TRUE,3362761,希腊广播电视公司,TRUE,688792,Ellinikí Radiofonía Tileórasi,4,Art and culture,3
874,2013,11-Jun,Shenzhou 10,3073185,FALSE,,,TRUE,895620,神舟十号,TRUE,5871753,Shenzhou 10,6,Science and nature,1
876,2013,9-Jun,Iain Banks,14858,FALSE,,,TRUE,3676801,伊恩·班克斯,TRUE,17096,Iain Banks,5,Person,2
877,2013,9-Jun,2013 French Open – Women's Singles,38458249,TRUE,3136246,دورة فرنسا المفتوحة 2013 - فردي السيدات,TRUE,3485374,2013年法國網球公開賽女子單打比賽,TRUE,5818475,Anexo:Torneo de Roland Garros 2013 (individual femenino),2,Sports,4
878,2013,9-Jun,2013 French Open – Men's Singles,38458279,TRUE,3675173,دورة فرنسا المفتوحة 2013 - فردي الرجال,TRUE,3482741,2013年法國網球公開賽男子單打比賽,TRUE,5816142,Anexo:Torneo de Roland Garros 2013 (individual masculino),2,Sports,4
879,2013,7-Jun,Xiamen bus fire,39611153,FALSE,,,TRUE,3494215,2013年厦门公交车纵火案,FALSE,,,0,Other,5
880,2013,7-Jun,PRISM (surveillance program),39601333,TRUE,1694325,بريسم,TRUE,3493499,稜鏡計畫,TRUE,5865670,PRISM,-1,None,6
882,2013,6-Jun,Kevin Barry (author),20365227,FALSE,,,TRUE,3680436,凯文·巴里,FALSE,,,5,None,2
883,2013,6-Jun,Esther Williams,896498,TRUE,3438100,إستر وليامز,FALSE,,,TRUE,1270973,Esther Williams,5,Person,2
884,2013,6-Jun,Tom Sharpe,26042649,FALSE,,,FALSE,,,TRUE,118376,Tom Sharpe,5,Person,2
885,2013,5-Jun,Janez Janša,1038986,TRUE,2937498,يانيز يانشا,TRUE,469076,亚内兹·扬沙,TRUE,276661,Janez Janša,4,Person,3
888,2013,5-Jun,Battle of al-Qusayr (2013),39456236,TRUE,1694299,معركة القصير (2013),TRUE,3516655,第二次古賽爾戰鬥,TRUE,5847772,Segunda batalla de Al Quseir,4,Society and social science,3
889,2013,4-Jun,Death of Jairo Mora Sandoval,39553194,FALSE,,,FALSE,,,TRUE,6584225,Muerte de Jairo Mora Sandoval,5,Person,2
890,2013,4-Jun,Hula painted frog,209887,FALSE,,,TRUE,929387,巴勒斯坦油彩蛙,TRUE,4049665,Latonia nigriventer,-1,None,6
894,2013,1-Jun,2013 DFB-Pokal Final,39141751,FALSE,,,TRUE,3494751,2013年德國足協盃決賽,FALSE,,,2,Sports,4
897,2013,30-Jul,"Pakistani presidential election, 2013",39495342,FALSE,,,TRUE,3572878,2013年巴基斯坦總統選舉,FALSE,,,1,Society and social science,3
898,2013,28-Jul,"Cambodian general election, 2013",33068259,TRUE,2426893,الانتخابات العامة في كمبوديا 2013,TRUE,3570166,2013年柬埔寨大选,TRUE,7933919,Elecciones generales de Camboya de 2013,1,Society and social science,3
901,2013,25-Jul,Mohamed Brahmi,40070625,TRUE,1735118,محمد براهمي,TRUE,3565744,穆罕默德·布拉米,TRUE,6532666,Mohamed Brahmi,4,Person,3
902,2013,24-Jul,Hero shrew,5080668,FALSE,,,FALSE,,,TRUE,818897,Scutisorex somereni,6,None,1
903,2013,24-Jul,Santiago de Compostela derailment,40060292,TRUE,1735157,حادث قطار سانتياغو دي كومبوستيلا,TRUE,3560842,2013年聖地亞哥-德孔波斯特拉火車事故,TRUE,5926500,Accidente ferroviario de Santiago de Compostela,0,Other,5
905,2013,22-Jul,Prince_George_of_Cambridge,39790655,TRUE,1731826,جورج أمير كامبريدج,TRUE,3558459,喬治王子 (劍橋),TRUE,5923450,Jorge de Cambridge,5,Person,2
906,2013,22-Jul,2013 Dingxi earthquakes,40035936,FALSE,,,TRUE,3557413,2013年定西地震,TRUE,5925592,Terremoto de Dingxi de 2013,3,Science and nature,1
907,2013,21-Jul,2013 Colombian clashes,40035227,FALSE,,,TRUE,3558236,2013年哥倫比亞襲擊,FALSE,,,0,Society and social science,5
908,2013,21-Jul,2013 Tour de France,26668070,TRUE,2190480,سباق طواف فرنسا 2013,TRUE,3516854,2013年环法自行车赛,TRUE,5459025,Tour de Francia 2013,2,Sports,4
909,2013,21-Jul,2013 Open Championship,36733550,FALSE,,,TRUE,3563578,2013年英國高爾夫球公開賽,FALSE,,,2,Sports,4
910,2013,21-Jul,Philippe of Belgium,168868,TRUE,335959,فيليب ملك بلجيكا,TRUE,1492426,菲利普 (比利时国王),TRUE,3095637,Felipe de Bélgica,5,Person,2
911,2013,20-Jul,Mel Smith,20567,TRUE,5032686,كينيث سميث,FALSE,,,TRUE,4974262,Mel Smith,5,Person,2
912,2013,20-Jul,Helen Thomas,304081,TRUE,473743,هيلين توماس,TRUE,501316,海倫·湯瑪斯,TRUE,2771673,Helen Thomas,5,Person,2
913,2013,19-Jul,Bert Trautmann,607950,TRUE,2183886,بيرت تراوتمان,TRUE,996556,畢·圖曼,TRUE,6574402,Bert Trautmann,5,Person,2
914,2013,18-Jul,Pandoravirus,40005913,FALSE,,,TRUE,3554839,潘多拉病毒,TRUE,5925505,Pandoravirus,6,None,1
916,2013,15-Jul,S/2004_N_1,58612689,TRUE,1723362,S/2004 N 1,TRUE,3548366,S/2004 N 1,TRUE,5916357,S/2004 N 1,6,Science and nature,1
917,2013,15-Jul,Moons of Neptune,818487,TRUE,954076,أقمار نبتون,TRUE,51158,海王星的卫星,TRUE,918579,Satélites de Neptuno,6,None,1
918,2013,14-Jul,Typhoon Soulik (2013),39927428,FALSE,,,TRUE,3532960,颱風蘇力 (2013年),FALSE,,,-1,Science and nature,6
919,2013,14-Jul,Cory Monteith,6064346,TRUE,939088,كوري مونتيث,TRUE,1913461,科里·蒙蒂思,TRUE,3169550,Cory Monteith,2,Person,4
920,2013,13-Jul,"Bhutanese National Assembly election, 2013",39205381,FALSE,,,TRUE,3549202,2013年不丹國民議會選舉,TRUE,7948207,Elecciones generales de Bután de 2013,1,Society and social science,3
921,2013,12-Jul,Brétigny-sur-Orge train crash,39946287,TRUE,1721827,حادث قطار بريتني,TRUE,3546971,奧爾日河畔布雷提尼列車出軌事故,TRUE,5911670,Accidente ferroviario de Brétigny-sur-Orge,0,Other,5
922,2013,12-Jul,Igor I. Sikorsky Human Powered Helicopter Competition,6081281,FALSE,,,TRUE,3540220,伊戈爾·西科爾斯基人力直升機比賽,FALSE,,,2,Society and social science,4
923,2013,11-Jul,Jean-Claude Juncker,393865,TRUE,18787,جان كلود يونكر,TRUE,618028,让-克洛德·容克,TRUE,151873,Jean-Claude Juncker,4,Person,3
926,2013,8-Jul,2013 Bodh Gaya blasts,39925973,FALSE,,,TRUE,3534455,2013年菩提伽耶爆炸案,FALSE,,,-1,Other,6
928,2013,6-Jul,Asiana Airlines Flight 214,39883654,TRUE,1713750,خطوط آسيانا الجوية الرحلة 214,TRUE,3531568,韩亚航空214号班机空难,TRUE,5904354,Vuelo 214 de Asiana Airlines,0,Society and social science,5
929,2013,6-Jul,2013 Wimbledon Championships,35968794,TRUE,1976071,بطولة ويمبلدون 2013,TRUE,3511395,2013年溫布頓網球錦標賽,TRUE,5497825,Campeonato de Wimbledon 2013,2,Sports,4
930,2013,6-Jul,Yobe State school shooting,39881002,FALSE,,,TRUE,3533675,約貝州學校槍擊案,TRUE,5904638,Tiroteo en una escuela del Estado de Yobe,0,Other,5
931,2013,4-Jul,London Array,8465012,TRUE,1713610,لندن أري,TRUE,3531057,倫敦陣列,TRUE,746513,London Array,4,Geography and place,3
932,2013,3-Jul,2013 Egyptian coup d'état,39822702,TRUE,1730424,انقلاب 2013 في مصر,TRUE,3527676,2013年埃及政变,TRUE,5897516,Golpe de Estado en Egipto de 2013,5,Other,2
933,2013,3-Jul,Albert II of Belgium,143745,TRUE,170126,ألبير الثاني ملك بلجيكا,TRUE,135356,阿尔贝二世 (比利时),TRUE,82747,Alberto II de Bélgica,5,Person,2
934,2013,3-Jul,2013 Aceh earthquake,39846035,FALSE,,,TRUE,3527994,2013年亞齊地震,TRUE,5903952,Terremoto de Aceh de 2013,3,Science and nature,1
935,2013,2-Jul,Styx (moon),36395209,TRUE,1347970,ستيكس (قمر),TRUE,2894928,冥卫五,TRUE,5300244,Estigia (satélite),2,Science and nature,4
936,2013,2-Jul,Kerberos (moon),32475056,TRUE,1097202,كيربيروس (قمر),TRUE,1621130,冥卫四,TRUE,4757620,Cerbero (satélite),2,Science and nature,4
938,2013,1-Jul,United Nations Multidimensional Integrated Stabilization Mission in Mali,39280286,TRUE,1710658,بعثة الأمم المتحدة المتكاملة المتعددة الأبعاد لتحقيق الاستقرار في مالي,FALSE,,,TRUE,7709375,MINUSMA,-1,Society and social science,6
939,2013,30-Aug,Geography of Greenland,12120,FALSE,,,TRUE,1056672,格陵兰地理,TRUE,4383194,Geografía de Groenlandia,-1,Geography and place,6
941,2013,30-Aug,Seamus Heaney,50920,TRUE,181978,شيموس هيني,TRUE,435477,谢默斯·希尼,TRUE,93414,Seamus Heaney,5,Person,2
942,2013,28-Aug,Women's rights in Saudi Arabia,14493286,TRUE,1305077,حقوق المرأة في السعودية,FALSE,,,FALSE,,,1,Society and social science,3
944,2013,23-Aug,2013 Palmasola prison riot,40354300,FALSE,,,FALSE,,,TRUE,5974863,Motín en la cárcel Palmasola de 2013,0,Other,5
945,2013,23-Aug,Robert Bales,35102183,TRUE,1762843,روبرت باليز,FALSE,,,TRUE,5967680,Robert Bales,0,Person,5
947,2013,22-Aug,Wide-field Infrared Survey Explorer,6390647,TRUE,2390193,مستكشف الأشعة تحت الحمراء عريض المجال,TRUE,1243382,廣域紅外線巡天探測衛星,TRUE,3265751,Wide-field Infrared Survey Explorer,1,Science and nature,3
950,2013,19-Aug,xiamen bus fire,415767,TRUE,1002848,انقلاب 1953 في إيران,TRUE,1721619,1953年伊朗政變,TRUE,731160,Golpe de Estado en Irán de 1953,-1,Society and social science,6
953,2013,18-Aug,2013 World Championships in Athletics,4550726,TRUE,915187,بطولة العالم لألعاب القوى 2013,TRUE,1625613,2013年世界田徑錦標賽,TRUE,4874319,Campeonato Mundial de Atletismo de 2013,-1,None,6
954,2013,16-Aug,MV St. Thomas Aquinas,40264675,FALSE,,,FALSE,,,TRUE,5959587,MV St. Thomas Aquinas,0,Society and social science,5
955,2013,16-Aug,Yasuni National Park,2261655,FALSE,,,TRUE,3250364,亞蘇尼國家公園,TRUE,2570612,Parque nacional Yasuní,2,Geography and place,4
956,2013,16-Aug,Rosalía Mera,2492718,FALSE,,,TRUE,3591358,羅莎莉雅·梅拉,TRUE,1759310,Rosalía Mera,5,Person,2
958,2013,15-Aug,Kaesong Industrial Region,920101,TRUE,1639004,منطقة كايسونغ الصناعية,TRUE,108205,開城工業地區,TRUE,6374203,Región Industrial de Kaesong,-1,Geography and place,6
959,2013,15-Aug,Kepler (spacecraft),849815,TRUE,527117,كيبلر (مسبار فضائي),TRUE,999680,克卜勒太空望遠鏡,TRUE,2350581,Kepler (satélite),-1,Science and nature,6
960,2013,15-Aug,Olinguito,40249264,TRUE,1754695,أولينغويتو,TRUE,3591065,小型犬浣熊,TRUE,5955957,Bassaricyon neblina,6,None,1
961,2013,15-Aug,Bahrain Tamarod,40201407,TRUE,2431871,تمرد البحرين,FALSE,,,FALSE,,,-1,Other,6
964,2013,14-Aug,INS Sindhurakshak (S63),1248291,FALSE,,,TRUE,3589405,辛杜拉克沙克號潛艇,FALSE,,,0,Society and social science,5
965,2013,12-Aug,Whitey Bulger,579485,TRUE,1958855,وايتي بولغر,TRUE,3381672,詹姆斯·約瑟夫·巴爾傑,TRUE,5952308,Whitey Bulger,5,Person,2
967,2013,12-Aug,War in Darfur,5043637,TRUE,264595,الحرب في دارفور,TRUE,344571,达尔富尔战争,TRUE,238470,Conflicto de Darfur,0,Society and social science,5
968,2013,11-Aug,Jason Dufner,12899300,FALSE,,,TRUE,2939602,詹森·杜夫納,FALSE,,,2,Person,4
969,2013,11-Aug,2013 PGA Championship,36733606,FALSE,,,TRUE,3587017,2013年PGA錦標賽,FALSE,,,2,Sports,4
971,2013,6-Aug,The Washington Post,102226,TRUE,293468,واشنطن بوست,TRUE,74292,华盛顿邮报,TRUE,247185,The Washington Post,-1,Art and culture,6
972,2013,6-Aug,Jeff Bezos,142528,TRUE,107543,جيف بيزوس,TRUE,1807950,杰弗里·贝索斯,TRUE,1086142,Jeff Bezos,5,Person,2
973,2013,5-Aug,Biogenesis baseball scandal,39597386,FALSE,,,TRUE,3583755,生源論抗老化中心棒球醜聞,FALSE,,,2,None,4
974,2013,5-Aug,Prime Minister of Tuvalu,719328,FALSE,,,TRUE,3058353,图瓦卢总理,TRUE,1778067,Primer ministro de Tuvalu,4,Society and social science,3
975,2013,5-Aug,Enele Sopoaga,28859161,TRUE,1748233,إنال سوبواغا,TRUE,3581168,埃內爾·索本嘉,TRUE,5939624,Enele Sopoaga,4,Person,3
976,2013,5-Aug,Swimming at the 2013 World Aquatics Championships,39657644,FALSE,,,TRUE,3560168,2013年世界游泳錦標賽游泳比賽,FALSE,,,2,None,4
977,2013,5-Aug,Missy Franklin,26535791,TRUE,1448684,ميسي فرانكلين,TRUE,1625564,蜜茜·富兰克林,TRUE,5321644,Missy Franklin,2,Person,4
980,2013,2-Aug,"Zimbabwean general election, 2013",34887541,FALSE,,,TRUE,3508674,2013年津巴布韦大选,TRUE,6175576,Elecciones generales de Zimbabue de 2013,1,Society and social science,3
981,2013,1-Aug,Edward Snowden,39626432,TRUE,1695622,إدوارد سنودن,TRUE,3497078,爱德华·斯诺登,TRUE,5869230,Edward Snowden,5,Person,2
982,2013,1-Aug,Silvio Berlusconi,26909,TRUE,16579,سيلفيو برلسكوني,TRUE,181141,西尔维奥·贝卢斯科尼,TRUE,17658,Silvio Berlusconi,4,Person,3
983,2013,1-Aug,Dwarf lemur,12789614,TRUE,3579491,ليمور قزم,FALSE,,,TRUE,1782836,Cheirogaleus,6,None,1
984,2013,30-Sep,United States federal government shutdown of 2013,40675309,TRUE,1792998,تعطيل الحكومة الفيدرالية الأمريكية 2013,TRUE,3673103,2013年美国联邦政府关闭事件,FALSE,,,4,None,3
986,2013,29-Sep,Wilson Kipsang Kiprotich,25298168,FALSE,,,TRUE,3657449,威爾森·克伊普,TRUE,5345446,Wilson Kipsang Kiprotich,6,Person,1
988,2013,27-Sep,IPCC Fifth Assessment Report,19187635,TRUE,3700198,تقرير التقييم الخامس للجنة الدولية للتغيرات المناخية,FALSE,,,TRUE,6881013,Quinto Informe de Evaluación del IPCC,-1,None,6
989,2013,25-Sep,2013 America's Cup,26208495,FALSE,,,FALSE,,,TRUE,4191456,Copa América 2013 (regata),2,Sports,4
993,2013,22-Sep,"German federal election, 2013",19172687,TRUE,2447530,الانتخابات الفدرالية الألمانية 2013,TRUE,3624256,2013年德国联邦议院选举,TRUE,5186760,Elecciones federales de Alemania de 2013,1,Society and social science,3
994,2013,22-Sep,Bo Xilai,528159,FALSE,,,TRUE,17562,薄熙来,TRUE,4840364,Bo Xilai,4,Person,3
996,2013,21-Sep,Typhoon Usagi (2013),40570978,FALSE,,,TRUE,3626831,颱風天兔 (2013年),FALSE,,,-1,Science and nature,6
998,2013,21-Sep,Grand Theft Auto V,31795249,TRUE,1160285,جراند ثفت أوتو V,TRUE,1717970,俠盜獵車手V,TRUE,4919799,Grand Theft Auto V,6,Other,1
1000,2013,19-Sep,2012 JPMorgan Chase trading loss,35845624,FALSE,,,TRUE,6171530,摩根大通事件 (倫敦鯨事件),FALSE,,,-1,None,6
1002,2013,18-Sep,Ken Norton,155524,TRUE,3004528,كين نورتون,FALSE,,,TRUE,1643376,Ken Norton,5,Person,2
1004,2013,17-Sep,Eiji Toyoda,312017,FALSE,,,FALSE,,,TRUE,5995459,Eiji Toyoda,5,Person,2
1007,2013,16-Sep,Washington Navy Yard shooting,40547778,TRUE,1780963,حادثة القتل الجماعي في واشنطن نافي يارد,TRUE,3627422,華盛頓海軍工廠槍擊事件,TRUE,5994735,Masacre de Washington Navy Yard de 2013,0,Other,5
