postid,lang,postyear,postdatetime,pageid,article_firstedit_ever_revid,article_firstedit_ever_date,article_firstedit_ever_timestamp,article_firstedit_ever_size,totaledits_byall,totaledits_byregistered,unique_all_editors,unique_registered_editors,total_size_added,sizeadded_byregistered,firstedit_revid,firstedit_timestamp,endfirstday_revid,endfirstweek_revid,firstmonth_revid,topic,category,updated_topic
976,zh,2013,8/5/13,3560168,27816097,7/24/13,2013-07-24T07:51:23Z,3272,4,4,2,1,42,42,28093910,8/5/13 0:43,28093934,28126665,28126665,2,None,4
977,en,2013,8/5/13,26535791,349565818,3/13/10,2010-03-13T06:30:09Z,2173,27,10,20,9,344,871,567333439,8/6/13 0:17,567465713,568263711,571221113,2,Person,4
977,ar,2013,8/5/13,1448684,9490765,9/10/12,2012-09-10T20:41:39Z,1631,1,1,1,0,0,0,11424845,8/18/13 4:07,11424845,11424845,11424845,2,Person,4
977,zh,2013,8/5/13,1625564,17253720,7/31/11,2011-07-31T04:27:09Z,2480,3,3,3,2,62,62,28122170,8/6/13 12:04,28123222,28126609,28126609,2,Person,4
977,es,2013,8/5/13,5321644,58338321,7/29/12,2012-07-29T00:03:23Z,974,18,18,2,1,11838,11838,68901273,8/8/13 21:30,68901835,68908614,69234828,2,Person,4
980,en,2013,8/2/13,34887541,478870205,2/26/12,2012-02-26T01:11:05Z,1574,136,120,54,40,14793,14524,566789372,8/2/13 0:21,566903842,567705926,570697936,1,Society and social science,3
980,zh,2013,8/2/13,3508674,26933945,6/19/13,2013-06-19T02:49:35Z,3611,9,9,5,4,35,35,28078772,8/4/13 2:14,28081551,28100818,28100818,1,Society and social science,3
980,es,2013,8/2/13,6175576,72371289,2/6/14,2014-02-06T14:44:13Z,7340,0,0,0,0,0,0,0,0,0,0,0,1,Society and social science,3
981,en,2013,8/1/13,39626432,559104064,6/9/13,2013-06-09T18:52:35Z,33,708,669,174,144,145041,144579,566679071,8/1/13 6:32,566784201,567638903,571008628,5,Person,2
981,ar,2013,8/1/13,1695622,11070836,6/10/13,2013-06-10T19:50:36Z,3376,31,27,5,2,10191,11027,11349767,8/2/13 1:24,11349767,11377601,11405578,5,Person,2
981,zh,2013,8/1/13,3497078,26828762,6/10/13,2013-06-10T01:49:32Z,1830,41,32,23,14,-2884,-1647,28027550,8/1/13 10:18,28030684,28134622,28232046,5,Person,2
981,es,2013,8/1/13,5869230,67587461,6/10/13,2013-06-10T12:59:52Z,16700,19,12,13,6,2275,1600,68762063,8/1/13 18:14,68762106,68892922,69206002,5,Person,2
982,en,2013,8/1/13,26909,410495938,4/11/01,2001-04-11T20:54:09Z,559,52,52,25,24,-12679,-12679,566746268,8/1/13 18:01,566775139,567628640,570326950,4,Person,3
982,ar,2013,8/1/13,16579,63983,8/5/05,2005-08-05T23:14:41Z,98,2,0,1,0,-4,0,11357924,8/4/13 1:58,11357930,11357930,11357930,4,Person,3
982,zh,2013,8/1/13,181141,1160308,11/6/05,2005-11-06T13:38:59Z,473,4,4,2,1,-15,-15,28066939,8/3/13 13:10,28071959,28146602,28146602,4,Person,3
982,es,2013,8/1/13,17658,51618,11/2/03,2003-11-02T10:57:28Z,439,2,0,2,0,-33,0,68791497,8/3/13 0:56,68791497,68791497,69062861,4,Person,3
983,en,2013,8/1/13,12789614,151522155,8/16/07,2007-08-16T02:25:00Z,277,2,1,2,1,11,11,566798432,8/2/13 2:00,566810843,566810843,566810843,6,None,1
983,ar,2013,8/1/13,3579491,23152217,4/30/17,2017-04-30T21:15:10Z,1558,0,0,0,0,0,0,0,0,0,0,0,6,None,1
983,es,2013,8/1/13,1782836,18795229,7/15/08,2008-07-15T00:10:36Z,2027,0,0,0,0,0,0,0,0,0,0,0,6,None,1
984,en,2013,9/30/13,40675309,575216327,9/30/13,2013-09-30T23:54:38Z,1142,1607,1382,482,319,171825,745009,575216327,9/30/13 23:54,575216612,576215197,579331304,4,None,3
984,ar,2013,9/30/13,1792998,11731242,10/1/13,2013-10-01T19:56:26Z,3851,28,27,9,8,29761,30046,11731242,10/1/13 19:56,11731418,11753011,11827521,4,None,3
984,zh,2013,9/30/13,3673103,28854875,10/8/13,2013-10-08T09:16:48Z,454,28,23,13,10,2101,962,28854875,10/8/13 9:16,28854937,28910834,28996430,4,None,3
986,en,2013,9/29/13,25298168,329546232,12/3/09,2009-12-03T22:14:15Z,6281,63,34,42,26,541,15904,574977119,9/29/13 8:49,575062357,575744896,576800778,6,Person,1
986,zh,2013,9/29/13,3657449,28786063,10/1/13,2013-10-01T13:49:46Z,1172,5,5,2,1,291,291,28786063,10/1/13 13:49,28786063,28797596,28797596,6,Person,1
986,es,2013,9/29/13,5345446,58755344,8/12/12,2012-08-12T11:41:50Z,777,4,1,3,1,577,434,69915502,9/29/13 13:18,69919480,69919480,69919480,6,Person,1
988,en,2013,9/27/13,19187635,236447151,9/5/08,2008-09-05T13:49:37Z,79,132,116,45,33,4364,4210,574718814,9/27/13 10:01,574803104,575408948,578795218,-1,None,6
988,ar,2013,9/27/13,3700198,23730681,7/3/17,2017-07-03T13:29:57Z,1343,0,0,0,0,0,0,0,0,0,0,0,-1,None,6
988,es,2013,9/27/13,6881013,82342536,5/11/15,2015-05-11T04:35:15Z,22453,0,0,0,0,0,0,0,0,0,0,0,-1,None,6
989,en,2013,9/25/13,26208495,344231031,2/15/10,2010-02-15T16:49:20Z,1081,119,96,57,39,11545,10622,574398919,9/25/13 0:46,574527643,575321282,577067415,2,Sports,4
989,es,2013,9/25/13,4191456,40237027,9/13/10,2010-09-13T17:42:22Z,1796,10,10,1,0,664,664,69821834,9/25/13 7:31,69842566,69857886,69857886,2,Sports,4
993,en,2013,9/22/13,19172687,236222692,9/4/08,2008-09-04T12:21:24Z,43,194,151,89,58,5078,5783,574028335,9/22/13 10:31,574111195,574982349,576691014,1,Society and social science,3
993,ar,2013,9/22/13,2447530,14740091,1/15/15,2015-01-15T22:44:08Z,3674,0,0,0,0,0,0,0,0,0,0,0,1,Society and social science,3
993,zh,2013,9/22/13,3624256,28614492,9/14/13,2013-09-14T01:41:27Z,1658,28,24,8,5,10408,10442,28686575,9/22/13 3:51,28687419,28713910,28713910,1,Society and social science,3
993,es,2013,9/22/13,5186760,55698997,4/26/12,2012-04-26T22:14:13Z,4474,88,82,23,17,21852,21721,69745441,9/22/13 2:04,69763739,69899150,70322277,1,Society and social science,3
994,en,2013,9/22/13,528159,2840632,3/15/04,2004-03-15T09:42:33Z,113,46,31,35,25,890,6974,573996200,9/22/13 3:10,574085839,574758711,575161178,4,Person,3
994,zh,2013,9/22/13,17562,61314,3/16/04,2004-03-16T03:27:25Z,162,27,21,20,15,2213,1937,28686121,9/22/13 2:59,28693008,28738598,28979057,4,Person,3
994,es,2013,9/22/13,4840364,49530801,9/5/11,2011-09-05T04:24:05Z,3309,2,0,2,0,3,0,69778128,9/23/13 15:12,69783404,69783404,69783404,4,Person,3
996,en,2013,9/21/13,40570978,573577157,9/19/13,2013-09-19T00:50:28Z,2254,133,91,60,37,11801,8776,573883987,9/21/13 7:34,573974310,574797380,578053053,-1,Science and nature,6
996,zh,2013,9/21/13,3626831,28637170,9/16/13,2013-09-16T13:23:54Z,2471,437,308,95,39,48467,42670,28674839,9/21/13 0:25,28684885,28733740,28983829,-1,Science and nature,6
998,en,2013,9/21/13,31795249,6727532,10/20/04,2004-10-20T13:57:37Z,45,383,383,88,87,47975,47975,573860405,9/21/13 2:30,573974026,574770284,577957065,6,Other,1
998,ar,2013,9/21/13,1160285,7692699,10/30/11,2011-10-30T19:20:12Z,864,8,2,8,2,49,1,11698805,9/23/13 16:59,11698940,11721062,11790466,6,Other,1
998,zh,2013,9/21/13,1717970,18225125,11/3/11,2011-11-03T01:56:30Z,849,67,55,20,12,41776,39595,28679160,9/21/13 8:51,28681121,28736465,28891903,6,Other,1
998,es,2013,9/21/13,4919799,50871877,10/27/11,2011-10-27T17:12:57Z,11980,148,68,85,32,2215,34431,69730907,9/21/13 3:53,69743589,69853559,70189321,6,Other,1
1000,en,2013,9/19/13,35845624,492971739,5/17/12,2012-05-17T04:16:02Z,6302,77,55,19,13,-111736,-111219,573574057,9/19/13 0:12,573713006,574012929,577480345,-1,None,6
1000,zh,2013,9/19/13,6171530,49818526,6/2/18,2018-06-02T17:43:23Z,1130,0,0,0,0,0,0,0,0,0,0,0,-1,None,6
1002,en,2013,9/18/13,155524,466585,12/7/02,2002-12-07T13:07:49Z,735,63,35,40,23,2489,1616,573570163,9/18/13 23:23,573572906,574122483,577603894,5,Person,2
1002,ar,2013,9/18/13,3004528,17751916,12/17/15,2015-12-17T22:08:19Z,2012,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1002,es,2013,9/18/13,1643376,17116978,5/4/08,2008-05-04T21:59:01Z,2146,26,18,11,8,1075,732,69699895,9/19/13 7:55,69709428,69771401,70155074,5,Person,2
1004,en,2013,9/17/13,312017,1394710,9/5/03,2003-09-05T09:48:09Z,2429,58,48,27,20,4494,4046,573254675,9/17/13 4:04,573417431,573977970,577580351,5,Person,2
1004,es,2013,9/17/13,5995459,69664492,9/17/13,2013-09-17T10:14:59Z,307,1,1,1,0,0,0,69664492,9/17/13 10:14,69664492,69664492,69664492,5,Person,2
1007,en,2013,9/16/13,40547778,573172752,9/16/13,2013-09-16T16:03:34Z,2011,689,582,210,148,35371,38797,573172752,9/16/13 16:03,573231981,574190767,575725592,0,Other,5
1007,ar,2013,9/16/13,1780963,11632130,9/17/13,2013-09-17T15:27:33Z,7284,15,13,7,5,2382,2343,11632130,9/17/13 15:27,11632954,11692298,11692298,0,Other,5
1007,zh,2013,9/16/13,3627422,28642548,9/17/13,2013-09-17T06:55:47Z,2641,19,16,8,5,5335,5148,28642548,9/17/13 6:55,28642548,28705265,28804248,0,Other,5
1007,es,2013,9/16/13,5994735,69651324,9/16/13,2013-09-16T18:29:34Z,3151,9,9,4,3,47,47,69651324,9/16/13 18:29,69655979,69655979,70056160,0,Other,5
1008,en,2013,9/16/13,40522749,572785181,9/13/13,2013-09-13T17:45:54Z,94,125,100,68,48,18473,19635,573095119,9/16/13 1:40,573230752,573963128,577345315,3,Other,1
1008,es,2013,9/16/13,5994747,69651607,9/16/13,2013-09-16T18:41:22Z,620,40,40,4,3,7214,7214,69651607,9/16/13 18:41,69651607,69700856,69700856,3,Other,1
1009,en,2013,9/16/13,34381867,471403681,1/14/12,2012-01-14T23:09:44Z,9371,238,214,91,72,10256,10212,573117621,9/16/13 6:30,573222702,574076458,577462968,0,Other,5
1009,zh,2013,9/16/13,1797247,18942996,1/15/12,2012-01-15T21:53:04Z,181,6,4,6,4,54,63,28638187,9/16/13 15:14,28639676,28674447,28905756,0,Other,5
1009,es,2013,9/16/13,5037581,53079522,1/17/12,2012-01-17T18:15:10Z,36238,31,9,9,5,53,3987,69669556,9/17/13 16:52,69669556,69792037,69980456,0,Other,5
1010,en,2013,9/16/13,4624612,46912509,4/4/06,2006-04-04T11:58:47Z,121,132,85,77,42,4190,3712,573119798,9/16/13 6:57,573232271,573982256,576718080,2,Society and social science,4
1010,ar,2013,9/16/13,1211937,8017823,1/16/12,2012-01-16T06:04:11Z,2664,0,0,0,0,0,0,0,0,0,0,0,2,Society and social science,4
1010,zh,2013,9/16/13,1797063,18940248,1/15/12,2012-01-15T14:41:05Z,738,8,8,4,3,152,152,28638129,9/16/13 15:08,28639108,28647766,28905771,2,Society and social science,4
1010,es,2013,9/16/13,5032733,52979118,1/14/12,2012-01-14T16:56:11Z,1348,38,28,13,7,1798,2947,69642904,9/16/13 6:24,69642951,69765359,69933937,2,Society and social science,4
1012,en,2013,9/13/13,603335,3555153,4/18/04,2004-04-18T03:54:18Z,33,60,41,34,23,5032,4473,572690512,9/13/13 0:00,572814252,573219872,574556392,5,Person,2
1012,ar,2013,9/13/13,1809416,11822709,10/21/13,2013-10-21T11:56:20Z,1054,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1012,zh,2013,9/13/13,3623518,28607636,9/13/13,2013-09-13T03:55:17Z,306,22,19,6,4,3545,3375,28607636,9/13/13 3:55,28613967,28614983,28614983,5,Person,2
1012,es,2013,9/13/13,476910,4159322,8/3/06,2006-08-03T20:34:24Z,1335,11,5,8,5,1074,647,69587706,9/13/13 0:03,69600823,69663947,70110046,5,Person,2
1013,en,2013,9/12/13,32781,294033,12/28/01,2001-12-28T05:53:00Z,107,301,245,105,62,6443,4473,572564548,9/12/13 2:02,572685577,573574387,576875672,-1,Science and nature,6
1013,ar,2013,9/12/13,466801,2438333,11/26/08,2008-11-26T14:24:08Z,2743,18,17,5,4,1949,1943,11572394,9/13/13 10:59,11572394,11598097,11598097,-1,Science and nature,6
1013,zh,2013,9/12/13,111232,499402,5/27/05,2005-05-27T12:17:10Z,1833,29,23,15,9,4711,4197,28606800,9/13/13 1:17,28611347,28633047,28698340,-1,Science and nature,6
1013,es,2013,9/12/13,11959,32290,9/5/03,2003-09-05T08:36:30Z,397,28,21,11,7,1102,136,69582554,9/12/13 19:41,69587161,69627463,70070628,-1,Science and nature,6
1014,en,2013,9/11/13,39831254,562424992,7/1/13,2013-07-01T17:50:17Z,4313,149,111,78,47,-12483,-37458,572453206,9/11/13 6:48,572551732,573269832,575847212,-1,Other,6
1014,zh,2013,9/11/13,3608331,28415689,8/29/13,2013-08-29T22:31:13Z,718,7,7,5,4,1582,1582,28603068,9/12/13 10:34,28605431,28622488,28622488,-1,Other,6
1014,es,2013,9/11/13,5897444,68067246,7/1/13,2013-07-01T17:45:42Z,5451,94,73,38,23,3570,3221,69560227,9/11/13 15:13,69567817,69656156,70025260,-1,Other,6
1015,en,2013,9/10/13,18991065,233672061,8/23/08,2008-08-23T04:08:41Z,108,89,71,31,19,4556,4840,572345357,9/10/13 14:00,572373153,573227261,574779811,5,Person,2
1015,ar,2013,9/10/13,1775885,11565151,9/11/13,2013-09-11T17:52:49Z,1191,4,4,4,3,106,106,11565151,9/11/13 17:52,11565151,11629511,11744382,5,Person,2
1015,zh,2013,9/10/13,3617637,28555242,9/7/13,2013-09-07T03:02:17Z,3644,29,25,9,6,1939,1945,28584438,9/10/13 4:02,28590332,28618976,28736395,5,Person,2
1015,es,2013,9/10/13,5988208,69546004,9/10/13,2013-09-10T19:13:42Z,3218,15,12,8,6,884,864,69546004,9/10/13 19:13,69548105,69569626,69569626,5,Person,2
1016,en,2013,9/9/13,37235915,516173541,10/5/12,2012-10-05T16:41:53Z,11971,112,87,42,24,7893,8193,572218149,9/9/13 17:29,572243544,573128071,575248965,4,Society and social science,3
1016,ar,2013,9/9/13,2448169,14745875,1/16/15,2015-01-16T14:58:48Z,4518,0,0,0,0,0,0,0,0,0,0,0,4,Society and social science,3
1016,es,2013,9/9/13,6012865,69973897,10/2/13,2013-10-02T18:40:20Z,178,18,18,2,1,15587,15587,69973897,10/2/13 18:40,69975844,70078477,70078477,4,Society and social science,3
1017,en,2013,9/9/13,40484409,572177961,9/9/13,2013-09-09T11:42:03Z,866,102,95,41,34,5213,5146,572177961,9/9/13 11:42,572259021,572734126,572734126,-1,Art and culture,6
1017,ar,2013,9/9/13,1776234,11566814,9/12/13,2013-09-12T07:46:48Z,1173,12,12,3,2,2185,2185,11566814,9/12/13 7:46,11567078,11634103,11634103,-1,Art and culture,6
1017,zh,2013,9/9/13,3622210,28596897,9/11/13,2013-09-11T13:53:45Z,3529,10,10,7,6,379,379,28596897,9/11/13 13:53,28597077,28631790,28631790,-1,Art and culture,6
1017,es,2013,9/9/13,5987703,69537671,9/10/13,2013-09-10T08:15:02Z,93,44,44,7,6,5554,5554,69537671,9/10/13 8:15,69550776,69563702,69694225,-1,Art and culture,6
1018,en,2013,9/7/13,22603386,286638576,4/28/09,2009-04-28T13:02:15Z,4123,26,24,16,14,1503,1500,571863759,9/7/13 2:23,571956074,572341454,573236213,-1,Science and nature,6
1018,zh,2013,9/7/13,3619801,28574886,9/9/13,2013-09-09T03:25:09Z,6601,7,7,5,4,93,93,28574886,9/9/13 3:25,28583120,28583120,28583120,-1,Science and nature,6
1018,es,2013,9/7/13,5986496,69519476,9/9/13,2013-09-09T09:54:19Z,301,1,1,1,0,0,0,69519476,9/9/13 9:54,69519476,69519476,69519476,-1,Science and nature,6
1019,en,2013,9/7/13,32583877,442238488,7/30/11,2011-07-30T18:47:40Z,1242,83,71,35,26,-2699,-2579,571873817,9/7/13 4:39,571975816,572743122,575679148,5,None,2
1019,es,2013,9/7/13,5852848,67287567,5/29/13,2013-05-29T01:42:31Z,9470,27,22,10,5,2497,3004,69479993,9/7/13 0:23,69493595,69593591,69623480,5,None,2
1020,en,2013,9/7/13,27837851,370026288,6/25/10,2010-06-25T03:02:39Z,47,408,384,94,79,28080,28284,571850091,9/7/13 0:07,571983734,572729689,576139754,1,Society and social science,3
1020,zh,2013,9/7/13,3350465,25098286,2/21/13,2013-02-21T10:25:36Z,2258,18,3,8,3,11368,165,28559381,9/7/13 8:21,28559381,28583488,28846104,1,Society and social science,3
1020,es,2013,9/7/13,5664447,64185036,2/27/13,2013-02-27T20:09:12Z,29318,3,2,3,2,-9,-9,69503062,9/8/13 14:43,69503062,69604970,70056142,1,Society and social science,3
1023,en,2013,9/5/13,40455220,571679737,9/5/13,2013-09-05T18:54:58Z,147,169,142,88,72,9229,9125,571679737,9/5/13 18:54,571712761,572355081,572781397,2,Geography and place,4
1023,ar,2013,9/5/13,1772290,11528131,9/7/13,2013-09-07T13:55:42Z,867,13,13,5,4,6190,6190,11528131,9/7/13 13:55,11528659,11564063,11564063,2,Geography and place,4
1023,zh,2013,9/5/13,3617553,28553943,9/7/13,2013-09-07T01:34:41Z,4025,4,3,3,2,-7,48,28553943,9/7/13 1:34,28563157,28563157,28563157,2,Geography and place,4
1023,es,2013,9/5/13,5984063,69480173,9/7/13,2013-09-07T00:38:31Z,1498,14,12,6,4,3211,2823,69480173,9/7/13 0:38,69480173,69574191,69574191,2,Geography and place,4
1024,en,2013,9/3/13,11736,347283448,11/21/01,2001-11-21T10:53:02Z,1249,79,70,36,27,5119,4480,571308817,9/3/13 0:38,571436562,572232649,574770767,5,Person,2
1024,ar,2013,9/3/13,4968957,31268968,10/28/18,2018-10-28T17:53:33Z,1899,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1024,zh,2013,9/3/13,4753170,35582922,5/2/15,2015-05-02T12:56:30Z,1450,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1024,es,2013,9/3/13,19419,71187,11/23/03,2003-11-23T20:39:57Z,1891,66,43,11,6,11515,8480,69402511,9/3/13 1:51,69413059,69522995,69688110,5,Person,2
1025,en,2013,9/3/13,25922226,339631620,1/24/10,2010-01-24T00:18:42Z,4596,93,75,55,40,1444,1353,571345942,9/3/13 7:43,571424758,572088350,574206913,6,Other,1
1025,ar,2013,9/3/13,1768988,11512162,9/3/13,2013-09-03T14:39:24Z,697,64,63,5,4,24695,24684,11512162,9/3/13 14:39,11512188,11550351,11681353,6,Other,1
1025,zh,2013,9/3/13,3616736,28541371,9/6/13,2013-09-06T05:03:36Z,3478,5,5,3,2,205,205,28541371,9/6/13 5:03,28541371,28572620,28572620,6,Other,1
1025,es,2013,9/3/13,6077411,70972834,11/24/13,2013-11-24T03:53:22Z,15200,0,0,0,0,0,0,0,0,0,0,0,6,Other,1
1026,en,2013,9/2/13,26354,50836,2/25/02,2002-02-25T15:51:15Z,57,62,47,35,24,2178,1949,571299910,9/2/13 23:14,571304613,572202345,574222243,5,Person,2
1026,ar,2013,9/2/13,126041,504584,1/23/07,2007-01-23T01:48:56Z,2103,2,2,2,1,-22,-22,11514544,9/4/13 6:19,11514544,11533730,11533730,5,Person,2
1026,zh,2013,9/2/13,168197,1071771,10/5/05,2005-10-05T06:40:29Z,6270,32,26,6,4,2149,2168,28490823,9/3/13 1:16,28494687,28549825,28655248,5,Person,2
1026,es,2013,9/2/13,273540,2099205,1/19/06,2006-01-19T21:21:18Z,2339,16,14,9,8,856,176,69400530,9/2/13 23:50,69400545,69490580,69614941,5,Person,2
1027,en,2013,9/2/13,2329635,19810488,7/28/05,2005-07-28T21:29:38Z,273,207,164,109,76,4384,1860,571181395,9/2/13 5:49,571297337,572142359,575206111,6,Person,1
1027,zh,2013,9/2/13,3770027,29611660,12/23/13,2013-12-23T19:13:06Z,4005,0,0,0,0,0,0,0,0,0,0,0,6,Person,1
1027,es,2013,9/2/13,5978732,69393702,9/2/13,2013-09-02T18:28:16Z,384,20,20,6,5,5602,5602,69393702,9/2/13 18:28,69395772,69468365,69602455,6,Person,1
1028,en,2013,9/2/13,468631,2390360,2/14/04,2004-02-14T09:38:45Z,311,73,52,37,23,-2813,-3863,571157788,9/2/13 1:11,571277351,572041036,575373960,-1,Society and social science,6
1028,ar,2013,9/2/13,754243,4479158,12/12/09,2009-12-12T12:10:22Z,574,0,0,0,0,0,0,0,0,0,0,0,-1,Society and social science,6
1028,zh,2013,9/2/13,1795826,18927129,1/14/12,2012-01-14T09:46:29Z,3362,5,5,3,2,879,879,28502435,9/3/13 12:41,28503981,28514148,28514148,-1,Society and social science,6
1028,es,2013,9/2/13,1759843,18503757,7/1/08,2008-07-01T17:28:35Z,1859,0,0,0,0,0,0,0,0,0,0,0,-1,Society and social science,6
1030,en,2013,10/30/13,33367124,454905349,10/10/11,2011-10-10T17:55:00Z,26,206,190,65,55,15632,18047,579382876,10/30/13 1:13,579539898,580367780,583732448,2,Sports,4
1030,zh,2013,10/30/13,3676482,28881876,10/11/13,2013-10-11T08:33:49Z,3274,9,7,6,4,37,32,29072633,10/31/13 4:27,29079943,29115332,29115332,2,Sports,4
1030,es,2013,10/30/13,6032860,70302853,10/20/13,2013-10-20T04:44:42Z,1808,16,16,1,0,4687,4687,70523160,10/31/13 3:53,70528589,70528589,70528589,2,Sports,4
1031,en,2013,10/29/13,1040340,6342723,10/4/04,2004-10-04T22:59:39Z,347,130,98,81,55,2407,1237,579234942,10/29/13 6:19,579372031,580199093,583469458,-1,Society and social science,6
1031,ar,2013,10/29/13,1819792,11870864,10/29/13,2013-10-29T14:09:01Z,1456,24,24,7,6,13820,13820,11870864,10/29/13 14:09,11876294,11898936,12027869,-1,Society and social science,6
1031,zh,2013,10/29/13,530917,3960962,4/22/07,2007-04-22T14:08:00Z,392,21,19,13,11,4476,4462,29059729,10/29/13 14:35,29059928,29117173,29117173,-1,Society and social science,6
1031,es,2013,10/29/13,6044722,70499427,10/30/13,2013-10-30T10:39:17Z,2149,6,5,6,5,1117,1117,70499427,10/30/13 10:39,70501653,70532565,70965599,-1,Society and social science,6
1032,en,2013,10/28/13,38471543,537404797,2/9/13,2013-02-09T17:04:47Z,1180,155,148,18,14,65354,64936,579042159,10/28/13 1:48,579154108,580052770,583584925,1,Society and social science,3
1032,es,2013,10/28/13,5549954,62464094,12/25/12,2012-12-25T21:34:35Z,2092,43,35,19,13,15629,-23683,70453799,10/28/13 1:04,70469436,70539663,71019784,1,Society and social science,3
1033,en,2013,10/28/13,927699,5423874,8/25/04,2004-08-25T01:11:03Z,4938,93,79,31,20,14197,12869,579065880,10/28/13 6:24,579138923,580059291,583557177,5,Person,2
1033,ar,2013,10/28/13,2938789,17399864,11/5/15,2015-11-05T20:26:40Z,2046,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1033,zh,2013,10/28/13,3309819,24712007,1/25/13,2013-01-25T21:11:42Z,5593,9,9,5,4,154,154,29052765,10/28/13 20:46,29052908,29068863,29068863,5,Person,2
1033,es,2013,10/28/13,1848660,19622732,8/22/08,2008-08-22T02:52:39Z,1694,10,5,6,3,794,734,70459902,10/28/13 11:25,70470739,70560374,70560374,5,Person,2
1034,en,2013,10/25/13,113163,368508,10/19/02,2002-10-19T06:13:23Z,317,218,166,105,73,3810,2983,578653057,10/25/13 5:41,578653057,579654328,582607372,5,Person,2
1034,ar,2013,10/25/13,3769190,24165840,8/19/17,2017-08-19T23:17:45Z,2309,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1034,es,2013,10/25/13,1581019,16390042,4/6/08,2008-04-06T00:11:26Z,2823,31,21,22,12,1764,1375,70426843,10/26/13 16:27,70434288,70525360,70650947,5,Person,2
1035,en,2013,10/24/13,680912,3734961,5/26/04,2004-05-26T05:36:01Z,1154,79,67,36,25,4417,842,578530528,10/24/13 10:40,578619082,579175626,581801013,5,Person,2
1035,ar,2013,10/24/13,3219651,20428570,7/7/16,2016-07-07T13:13:01Z,2968,0,0,0,0,0,0,0,0,0,0,0,5,Person,2
1035,es,2013,10/24/13,1612058,16749010,4/20/08,2008-04-20T15:01:48Z,1651,13,12,8,7,786,794,70387733,10/24/13 11:51,70396668,70458868,70458868,5,Person,2
1036,en,2013,10/24/13,40874497,578462912,10/23/13,2013-10-23T21:49:47Z,628,144,103,80,49,2038,2368,578486188,10/24/13 1:28,578622886,579503280,579884247,-1,Science and nature,6
1036,ar,2013,10/24/13,1813712,11847094,10/26/13,2013-10-26T12:57:50Z,4132,24,24,11,10,2223,2223,11847094,10/26/13 12:57,11848115,11902043,11946943,-1,Science and nature,6
1036,zh,2013,10/24/13,3703044,29069428,10/30/13,2013-10-30T16:03:06Z,5495,2,2,1,0,-285,-285,29069428,10/30/13 16:03,29069428,29078805,29078805,-1,Science and nature,6
1036,es,2013,10/24/13,6039158,70407869,10/25/13,2013-10-25T12:56:28Z,1702,11,10,5,4,410,410,70407869,10/25/13 12:56,70417895,70437357,70437357,-1,Science and nature,6
1038,en,2013,10/18/13,30278734,405484245,1/2/11,2011-01-02T12:11:34Z,2131,61,51,30,21,3468,3073,577699838,10/18/13 11:44,577748181,578514129,582074503,1,Society and social science,3
1038,ar,2013,10/18/13,1812355,11840018,10/24/13,2013-10-24T18:16:41Z,3231,4,4,3,2,86,86,11840018,10/24/13 18:16,11840023,11858197,11911130,1,Society and social science,3
1039,en,2013,10/16/13,40809613,577429312,10/16/13,2013-10-16T13:51:26Z,2085,252,207,94,57,10085,10888,577429312,10/16/13 13:51,577496955,578402744,580448117,0,Society and social science,5
1039,ar,2013,10/16/13,1806884,11808100,10/18/13,2013-10-18T13:46:04Z,3885,12,12,4,3,1440,1440,11808100,10/18/13 13:46,11808108,11825974,11954927,0,Society and social science,5
1039,zh,2013,10/16/13,3682657,28932256,10/16/13,2013-10-16T16:35:59Z,1662,21,18,15,12,2846,2854,28932256,10/16/13 16:35,28932364,28978861,28978861,0,Society and social science,5
1039,es,2013,10/16/13,6028863,70237786,10/16/13,2013-10-16T20:38:20Z,942,15,13,7,6,3823,3647,70237786,10/16/13 20:38,70240828,70267373,70595710,0,Society and social science,5
1042,en,2013,10/14/13,301227,1322352,8/21/03,2003-08-21T05:07:04Z,550,48,36,32,25,-22097,-22448,577116676,10/14/13 11:04,577199131,578014242,579822865,2,Person,4
1042,ar,2013,10/14/13,274500,1295294,12/29/07,2007-12-29T16:43:08Z,882,2,2,1,0,-4,-4,11790599,10/14/13 18:51,11790605,11790605,11790605,2,Person,4
1042,zh,2013,10/14/13,1159751,11530919,11/1/09,2009-11-01T13:26:47Z,307,18,18,6,5,2829,2829,28911963,10/14/13 11:11,28914593,28937356,28937356,2,Person,4
1042,es,2013,10/14/13,1558077,16093837,3/26/08,2008-03-26T00:44:05Z,2969,3,3,3,2,335,335,70191895,10/14/13 13:39,70191895,70207956,70335268,2,Person,4
1043,en,2013,10/14/13,3313162,30049673,12/3/05,2005-12-03T21:45:03Z,106,47,34,37,26,1117,451,577117202,10/14/13 11:10,577199401,577798376,581026801,2,Person,4
1043,ar,2013,10/14/13,1855541,12074183,12/1/13,2013-12-01T13:48:40Z,527,0,0,0,0,0,0,0,0,0,0,0,2,Person,4
1043,zh,2013,10/14/13,3679896,28911860,10/14/13,2013-10-14T11:01:19Z,303,25,25,5,4,2999,2999,28911860,10/14/13 11:01,28914677,28938191,28938191,2,Person,4
